concept,polarity,closeness_male,closeness_female,closeness_global_north,closeness_global_south
big_winner,positive,,,,
growing,positive,,,,
increase,positive,,,,
hard_slam,positive,,,,
solid,positive,,,,
reminder_punish,negative,,,,
rise,positive,,,,
solid_footing,positive,,,,
drop,negative,,,,
strong_volume,positive,,,,
strong_http,positive,,,,
strong_enough,positive,,,,
fall,negative,,,,
big_success,positive,,,,
solid_volume,positive,,,,
decline_ma,negative,,,,
decrease,negative,,,,
downgrade_bias,negative,,,,
hard_low,positive,,,,
service_grow,positive,,,,
cut_pt,negative,,,,
strong_rail,positive,,,,
reject_high,negative,,,,
potential_defect,negative,,,,
program_downgrade,negative,,,,
bank_downgrade,negative,,,,
slump,negative,,,,
suspend_dividend,negative,,,,
invalidate_patent,negative,,,,
invalidate,negative,,,,
earnings_rise,positive,,,,
irregularity,negative,,,,
doubt_grow,positive,,,,
expect_gain,positive,,,,
regulatory_penalty,negative,,,,
drop_pct,negative,,,,
strong_interim,positive,,,,
reject_ab,negative,,,,
cut_update,negative,,,,
cut_job,negative,,,,
drop_policy,negative,,,,
cut_decline,negative,,,,
accuse_director,negative,,,,
scottish_prosecution,negative,,,,
criminal_prosecution,negative,,,,
downplay_threat,negative,,,,
strong_buy,positive,,,,
strong_rebound,positive,,,,
strong_rate,positive,,,,
flow_drop,negative,,,,
strong_beauty,positive,,,,
suddenly_realize,positive,,,,
drop_cap,negative,,,,
crude_oil,positive,,,,
strong_sector,positive,,,,
fall_most,negative,,,,
strong_minute,positive,,,,
breach_resistance,negative,,,,
wilful_infringement,negative,,,,
downgrade_valuation,negative,,,,
conference_underestimate,negative,,,,
not_underestimate,negative,,,,
lose_junk,negative,,,,
solid_term,positive,,,,
expire_gain,positive,,,,
suspend_advertiser,negative,,,,
tension_grow,positive,,,,
strong_weekly,positive,,,,
shortage,negative,,,,
solid_kingfisher,positive,,,,
drop_interest,negative,,,,
cut_cost,negative,,,,
suspend_worker,negative,,,,
quit_medicine,negative,,,,
slash_budget,negative,,,,
cut_shell,negative,,,,
serve_rise,positive,,,,
yet_disaster,negative,,,,
hurt_loss,negative,,,,
decline_fact,negative,,,,
strong_trading,positive,,,,
strong_start,positive,,,,
johnson_plead,negative,,,,
plead_guilty,negative,,,,
hard_question,positive,,,,
stock_gain,positive,,,,
cut_load,negative,,,,
straight_rise,positive,,,,
cut_group,negative,,,,
strong_sterling,positive,,,,
overturn_conviction,negative,,,,
fall_percent,negative,,,,
protester,negative,,,,
resign_ceo,negative,,,,
restructure,negative,,,,
resist_slump,negative,,,,
cut_hundred,negative,,,,
quit_supermarket,negative,,,,
slump_freeze,negative,,,,
drop_school,negative,,,,
drop_product,negative,,,,
cut_staff,negative,,,,
avoid_risk,negative,,,,
cut_activity,negative,,,,
oversee_disaster,negative,,,,
banker_plead,negative,,,,
strong_inflow,positive,,,,
drop_cent,negative,,,,
cut_expenditure,negative,,,,
cut_spending,negative,,,,
company_grow,positive,,,,
base_increase,positive,,,,
enable_service,positive,,,,
meanwhile_grow,positive,,,,
intake_grow,positive,,,,
early_grow,positive,,,,
increase_earnings,positive,,,,
however_grow,positive,,,,
enable_customer,positive,,,,
fall_pct,negative,,,,
strong_partnership,positive,,,,
achieve_rise,positive,,,,
strong_interest,positive,,,,
recently_grow,positive,,,,
recognize_gain,positive,,,,
well_succeed,positive,,,,
strong_portfolio,positive,,,,
record_gain,positive,,,,
strong_partner,positive,,,,
decline_comment,negative,,,,
strong_decision,positive,,,,
strong_brand,positive,,,,
solid_credit,positive,,,,
enhance_growth,positive,,,,
enable_access,positive,,,,
strong_base,positive,,,,
strong_asset,positive,,,,
strong_pipeline,positive,,,,
solid_fuel,positive,,,,
enable_worker,positive,,,,
solid_company,positive,,,,
strong_book,positive,,,,
strong_industry,positive,,,,
dependable,positive,,,,
strong_visibility,positive,,,,
book_gain,positive,,,,
drop_more,negative,,,,
excessive_datum,negative,,,,
violate_patent,negative,,,,
fell_tree,negative,,,,
rate_increase,positive,,,,
decrease_indebtedness,negative,,,,
big_growth,positive,,,,
also_grow,positive,,,,
enable_provider,positive,,,,
enable_evaluation,positive,,,,
consumption_grow,positive,,,,
enable_it,positive,,,,
discontinue_operation,negative,,,,
hard_layer,positive,,,,
requirement_grow,positive,,,,
enable_preparation,positive,,,,
fall_big,negative,,,,
large_growth,positive,,,,
dampen_loss,negative,,,,
expressly_prohibit,negative,,,,
suspend_reorganisation,negative,,,,
information_mislead,negative,,,,
possible_reduction,negative,,,,
worm_corrupt,negative,,,,
corrupt_document,negative,,,,
temporary_layoff,negative,,,,
cut_capacity,negative,,,,
challenge_make,positive,,,,
cut_electricity,negative,,,,
news_downgrade,negative,,,,
ignore_warning,negative,,,,
devalue_apartment,negative,,,,
now_devalue,negative,,,,
cut_frequency,negative,,,,
drop_percent,negative,,,,
strong_generation,positive,,,,
enable_party,positive,,,,
hard_drive,positive,,,,
interrupt_liquidity,negative,,,,
communication_disclaim,negative,,,,
disclaim,negative,,,,
disclaim_liability,negative,,,,
enable_application,positive,,,,
slash_price,negative,,,,
strong_euro,positive,,,,
enable_technology,positive,,,,
fall_along,negative,,,,
cut_sale,negative,,,,
solid_foundation,positive,,,,
spur_restructure,negative,,,,
swing_advantage,negative,,,,
quit_board,negative,,,,
lower_risk,negative,,,,
snap_gain,positive,,,,
solid_earnings,positive,,,,
fall_chance,negative,,,,
strong_support,positive,,,,
trim_bourse,negative,,,,
new_leader,positive,,,,
fall_stimulus,negative,,,,
share_gain,positive,,,,
reverse_loss,negative,,,,
good_growth,positive,,,,
reject_plea,negative,,,,
strong_september,positive,,,,
strong_datum,positive,,,,
crude_future,positive,,,,
strong_outlook,positive,,,,
gain_earnings,positive,,,,
end_crisis,negative,,,,
strong_momentum,positive,,,,
cut_debt,negative,,,,
strong_midpoint,positive,,,,
big_rise,positive,,,,
growth_make,positive,,,,
decline_margin,negative,,,,
decline_price,negative,,,,
cut_ebb,negative,,,,
strong_rupee,positive,,,,
reduce_deficit,negative,,,,
lose_block,negative,,,,
net_increase,positive,,,,
strong_show,positive,,,,
restructure_debt,negative,,,,
show_gain,positive,,,,
even_grow,positive,,,,
fortune_growing,positive,,,,
trim_loss,negative,,,,
inventory_grow,positive,,,,
suisse_downgrade,negative,,,,
slump_pc,negative,,,,
decline_pc,negative,,,,
trend_decline,negative,,,,
fall_cent,negative,,,,
downgrade_equity,negative,,,,
strong_equity,positive,,,,
fall_pc,negative,,,,
new_penalty,positive,,,,
threaten_penalty,negative,,,,
violate_warning,negative,,,,
violate_norm,negative,,,,
nigeria_devalue,negative,,,,
devalue_currency,negative,,,,
decline_cent,negative,,,,
